Filtering the log data using "subsystem == "com.apple.hid" OR (process == "kernel" AND composedMessage CONTAINS "Apple")"
Timestamp                       Thread     Type        Activity             PID    TTL
2026-03-30 01:33:13.158430-0600 0x14bec3e  Debug       0x0                  0      0    kernel: (IOHIDFamily) AppleMultitouchTrackpadHIDEventDriver:0x1009031e1 keyboard: 0 digitizer: 0 gameController: 0 multiAxis: 0 proximity: 0 relative: 5 scroll: 0 led: 0 unicode: 0 0compass: 0 orientation 0 0 vendor (child): 0 vendor (primary): 0 biometric: 0 gyro: 0 temperature: 0 accel: 0
2026-03-30 01:33:13.160825-0600 0x14bec3e  Default     0x0                  0      0    kernel: (AppleMultitouchDriver) [HID] [MT] AppleMultitouchHIDEventDriverV2::start [0x1009031E1] Successfully started
2026-03-30 01:33:13.160840-0600 0x14bd5b5  Default     0x0                  0      0    kernel: (AppleMultitouchDriver) [HID] [MT] AppleMultitouchHIDEventDriverV2::asyncTaskAction Async task : 1
2026-03-30 01:33:13.160842-0600 0x14bd5b5  Default     0x0                  0      0    kernel: (AppleMultitouchDriver) [HID] [MT] AppleMultitouchHIDEventDriverV2::asyncTaskAction Enumerate MT
2026-03-30 01:33:13.161195-0600 0x14bd5b5  Default     0x0                  0      0    kernel: (AppleMultitouchDriver) [HID] [MT] AppleMultitouchDevice::start [0x1009031E4] Entered
2026-03-30 01:33:13.370123-0600 0x14bd5b5  Default     0x0                  0      0    kernel: (AppleMultitouchDriver) [HID] [MT] AppleMultitouchDevice::start [0x1009031E4] Successfully started
2026-03-30 01:33:13.407903-0600 0x14be986  Default     0x0                  0      0    kernel: (AppleMultitouchDriver) [HID] [MT] [Error] AppleMultitouchDevice::_deviceSetReportWithLookUp ERROR - OVERRUN: mtReportID 0x99 has reportLength of 0, attempting to write 2 bytes
2026-03-30 01:33:14.272261-0600 0x14bc83d  Default     0x0                  0      0    kernel: (com.apple.DriverKit-AppleBCMWLAN.dext) AppleBCMWLANSkywalkInterface::NewUserClient_Impl(3044) _onWLANQueue
2026-03-30 01:33:14.288744-0600 0x14bc83d  Default     0x0                  0      0    kernel: (com.apple.DriverKit-AppleBCMWLAN.dext) AppleBCMWLANSkywalkInterface::NewUserClient_Impl(3044) _onWLANQueue
2026-03-30 01:33:14.365001-0600 0x14be9b5  Debug       0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServicesUserClient::externalMethod <- selector:0, arguments:<private>, dispatch:0x0, target:0x0, reference:0x0
2026-03-30 01:33:14.365030-0600 0x14be9b5  Debug       0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServicesUserClient::extPerform <- inObj:<private>, inRef:<private>, inArg:<private>
2026-03-30 01:33:14.365052-0600 0x14be9b5  Default     0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServicesUserClient::extPerform: in md = <private> out md = <private>  out md size 4
2026-03-30 01:33:14.365057-0600 0x14be9b5  Debug       0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServices::performCommand <- inData:<private>, outData:<private>, outSize:<private> --> _provider->performCommand
2026-03-30 01:33:14.365136-0600 0x14be9b5  Debug       0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServicesUserClient::extPerform -> err:0x0
2026-03-30 01:33:14.365149-0600 0x14be9b5  Debug       0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServicesUserClient::externalMethod -> err:0x0
2026-03-30 01:33:14.365696-0600 0x14bea93  Default     0x0                  0      0    kernel: (AppleSEPKeyStore) "AppleSEPKeyStore":12667:713: operation failed (sel: 17 ret: e00002f0, 501)
2026-03-30 01:33:14.366037-0600 0x14bea93  Default     0x0                  0      0    kernel: (AppleSEPKeyStore) "AppleSEPKeyStore":12667:713: operation failed (sel: 17 ret: e00002f0, 501)
